route,page_name,primary_keyword,secondary_keywords,search_intent,status
/,Početna,digitalna rješenja za firme,"tehnološki partner BiH; poslovni softver; AI automatizacija poslovanja; digitalna transformacija; blockchain razvoj",komercijalna,aktivna
/ai-automatizacija,AI automatizacija,AI automatizacija poslovanja,"automatizacija poslovnih procesa; AI rješenja za firme; AI agenti za poslovanje; AI chatbot za firme; automatizacija korisničke podrške",komercijalna,aktivna
/softver-rjesenja,Softver rješenja,izrada poslovnog softvera,"softver po mjeri; izrada web aplikacija; razvoj poslovnog softvera; custom softver BiH; razvoj CRM sistema; API integracije",transakcijska,aktivna
/marketing,Digitalni marketing,digitalni marketing Sarajevo,"SEO optimizacija Sarajevo; SEO agencija Sarajevo; Google Ads Sarajevo; lokalni SEO Sarajevo; content marketing BiH",lokalna,aktivna
/kripto,Kripto i Web3,blockchain razvoj,"Web3 development; razvoj Web3 aplikacija; blockchain consulting; Solana development; smart contract development",komercijalna,aktivna
/konsulting,Digitalni konsulting,digitalna transformacija poslovanja,"digitalni konsalting; IT consulting BiH; digitalna strategija; analiza poslovnih procesa; konsultacije za digitalizaciju",komercijalna,aktivna
/kontakt,Kontakt,GordonDM kontakt Sarajevo,"AI consulting BiH; izrada softvera upit; SEO konsultacije Sarajevo; digitalni projekat",navigacijska,aktivna
/izrada-web-stranica-sarajevo,Buduća landing stranica,izrada web stranica Sarajevo,"izrada web stranica BiH; web dizajn Sarajevo; izrada web shopa Sarajevo; cijena izrade web stranice Sarajevo",lokalna,planirana
/seo-optimizacija-sarajevo,Buduća landing stranica,SEO optimizacija Sarajevo,"SEO agencija Sarajevo; lokalni SEO Sarajevo; SEO analiza web stranice; tehnički SEO",lokalna,planirana
/softver-po-mjeri,Buduća landing stranica,softver po mjeri,"custom softver BiH; web aplikacija po mjeri; poslovne web aplikacije; CRM sistem",transakcijska,planirana
